,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,favorite_count,retweet_count,contains_profanity,word_count,contains_gatewaypundit,mentions_count,hashtags_count,Caps_count,contains_bad_url,contains_good_url,contains_bad_mentions,contains_good_mentions,contains_bad_hashtags,contains_good_hashtags,sentiment_analysis,contains_bad_words,contains_good_words,angry_level,fear_level,happy_level,sad_level,surprise_level
17660,0,17,2,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,-0.2732,0,0,0.25,0.0,0.0,0.25,0.5
12818,0,293,236,49,0,1,0,0,48,0,2,0,1,0,0,0,0,0,0,0.8316,0,0,0.0,0.67,0.17,0.17,0.0
12631,1,2,1432,303,0,0,0,1,26,0,0,0,1,0,0,0,0,0,0,-0.9042,0,0,0.2,0.2,0.0,0.2,0.4
2680,0,2822,32325,83340,0,15,5,0,34,0,0,0,2,0,0,0,0,0,0,-0.7184,0,0,0.0,0.62,0.0,0.12,0.25
7767,0,1258,851,12652,0,1,0,0,36,0,1,2,1,0,0,0,1,0,0,0.3847,0,1,0.0,0.0,0.0,0.5,0.5
5058,0,4999,1251,13719,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
11037,0,1038,481,11399,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0.34,0,0,0.0,0.5,0.0,0.0,0.5
1318,0,4432,1509,14601,0,0,0,0,43,0,4,0,0,0,0,0,0,0,0,-0.836,0,0,0.0,0.2,0.0,0.8,0.0
8093,0,896,1108,2392,0,0,0,0,22,0,4,0,0,0,1,0,0,0,0,0.0588,0,0,0.0,0.25,0.0,0.25,0.5
12049,0,184,202,1171,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0.3612,0,0,0.25,0.12,0.0,0.12,0.5
9020,0,623,104,1182,0,0,0,0,43,0,1,0,1,0,0,0,0,0,0,-0.8074,0,0,0.0,0.33,0.0,0.17,0.5
14452,0,503,84,8410,0,0,0,0,33,0,1,0,1,0,0,0,0,0,0,-0.0772,0,0,0.0,0.17,0.0,0.33,0.5
2051,0,97,113,51093,0,0,0,0,21,0,1,0,1,0,1,0,0,0,0,-0.8779,0,0,0.0,0.5,0.0,0.0,0.5
2499,0,2470,1810,97726,0,0,0,1,28,0,1,3,1,0,0,0,0,0,0,-0.5574,0,0,0.0,0.6,0.0,0.2,0.2
1084,0,98,33,1188,0,0,0,0,60,0,44,2,14,0,0,0,0,0,0,0.3804,0,0,0.0,0.0,0.0,0.0,1.0
14728,0,3214,3081,26599,0,10,1,0,22,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.5,0.0,0.5,0.0
15471,0,4989,1728,114372,0,0,0,0,20,0,1,0,1,0,0,0,0,0,0,0.3863,0,0,0.0,0.0,0.0,0.0,0.0
6480,0,4616,3226,31784,0,1,1,0,30,0,1,0,14,0,0,0,1,0,0,-0.2023,0,0,0.2,0.4,0.0,0.0,0.4
