,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,favorite_count,retweet_count,word_count,contains_gatewaypundit,mentions_count,hashtags_count,Caps_count,contains_bad_url,contains_good_url,contains_bad_mentions,sentiment_analysis,angry_level,fear_level,happy_level,sad_level,surprise_level
16147,0,294,12,1451,0,0,45,0,1,0,26,0,0,0,0.125,0.0,0.2,0.0,0.4,0.4
10121,0,574,5851,16375,10,1,36,0,1,0,0,0,0,0,0.8316,0.0,0.25,0.5,0.0,0.25
9780,0,1718,351,1845,0,0,36,0,3,1,1,0,0,0,0.0516,0.0,0.67,0.0,0.0,0.33
15716,0,146,813,0,0,1,41,0,4,2,3,0,0,0,0.0,0.0,0.0,0.0,0.33,0.67
8057,0,4788,2257,76566,2,0,37,0,10,0,6,0,1,0,-0.6124,0.0,0.4,0.0,0.4,0.2
5502,1,1262,174,8205,0,0,29,1,1,0,2,0,0,1,0.0772,0.0,0.33,0.33,0.0,0.33
7453,0,206,751,2,0,0,46,0,0,0,0,0,0,0,-0.7096,0.0,0.17,0.0,0.5,0.33
16638,0,1262,1789,64930,0,0,39,0,0,1,3,0,0,0,0.6997,0.0,0.33,0.33,0.0,0.33
15889,0,451,555,3366,0,0,20,0,0,0,1,0,0,0,0.8481,0.0,0.0,0.0,0.0,1.0
6983,1,938,762,30754,0,1,66,0,24,0,11,1,0,1,0.4404,0.0,0.25,0.0,0.25,0.5
4901,1,13416,12453,51257,0,0,36,1,1,0,15,0,0,1,0.0,0.17,0.33,0.0,0.0,0.5
293,0,2783,516,4862,1,0,44,0,2,1,4,0,0,0,-0.1027,0.0,0.0,0.0,0.0,1.0
3944,0,402,57,5238,0,0,32,0,4,0,0,0,0,0,-0.1027,0.0,0.25,0.0,0.0,0.75
15750,0,1499,2100,63708,0,0,41,0,0,0,2,0,0,0,-0.2023,0.0,0.8,0.2,0.0,0.0
2546,0,5138,5192,8347,0,0,43,0,2,0,0,0,0,0,0.9217,0.0,0.6,0.0,0.2,0.2
4625,0,1055,1767,4,0,2,31,0,0,28,6,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
16568,0,165,25,1312,0,0,38,0,1,0,0,0,0,0,-0.8885,0.0,0.11,0.22,0.44,0.22
8372,0,24,1039,3288,1,0,33,0,1,0,2,0,1,0,-0.8807,0.33,0.67,0.0,0.0,0.0
10612,1,153,64,3650,0,0,21,1,1,0,8,0,0,1,-0.6486,0.0,0.0,0.0,0.33,0.67
4246,0,58,20,0,0,0,24,0,0,0,6,0,0,0,-0.7906,0.0,0.67,0.0,0.33,0.0
15474,0,970,738,51450,0,0,44,0,1,0,0,0,0,0,-0.2023,0.0,0.44,0.11,0.22,0.22
9679,0,2076,30362,6558,126,63,45,0,2,0,4,0,0,0,0.4939,0.0,0.0,0.0,0.0,0.0
14557,1,271,298,2574,0,0,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
7201,0,296,170,521,1,0,29,0,0,0,0,0,0,0,0.683,0.0,0.0,0.5,0.0,0.5
4638,0,735,20,3309,0,0,25,0,2,0,0,0,1,0,0.3818,0.0,0.25,0.25,0.25,0.25
11006,0,936,319,58613,0,0,47,0,1,2,0,0,0,0,0.1265,0.12,0.5,0.12,0.12,0.12
1534,1,2061,1925,37295,4,5,20,1,1,0,1,0,0,1,0.0,0.0,0.33,0.0,0.33,0.33
10144,0,3555,701,9289,0,0,22,0,0,0,1,0,0,0,-0.5423,0.0,0.5,0.5,0.0,0.0
17409,0,63899,63457,16442,16,7,28,0,0,0,0,0,0,0,-0.9432,0.0,0.14,0.0,0.57,0.29
9192,0,4370,822,40867,0,0,37,0,4,0,1,0,0,0,-0.7916,0.25,0.25,0.0,0.5,0.0
10960,0,5002,1464,113568,0,0,40,0,0,0,2,0,0,0,-0.8625,0.0,0.5,0.0,0.0,0.5
6486,0,2306,13024,5022,4,1,35,0,0,0,0,0,0,0,0.7579,0.25,0.25,0.25,0.0,0.25
11028,0,0,1,0,0,0,27,0,0,0,0,1,0,0,0.3616,0.0,0.33,0.0,0.33,0.33
10727,0,297,303,34536,1,0,39,0,1,0,1,0,1,0,0.9512,0.0,0.25,0.12,0.12,0.5
11114,0,1320,360,3623,0,0,21,0,0,3,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
4682,0,110,11,34,0,0,26,0,2,1,0,0,0,0,0.1779,0.0,0.0,0.25,0.5,0.25
13696,1,67,160,5,2,0,38,0,0,0,1,0,0,0,0.1531,0.0,0.5,0.0,0.25,0.25
4010,0,34217,31969,102258,1,1,25,0,15,1,4,0,0,0,-0.7269,0.0,1.0,0.0,0.0,0.0
984,0,903,85,409,0,0,46,0,0,0,2,0,1,0,0.4404,0.0,0.0,0.67,0.0,0.33
10227,0,59,7,4621,0,0,31,0,3,0,1,0,0,0,-0.765,0.0,0.0,0.0,1.0,0.0
16318,0,17,3069,172,82,30,45,0,0,0,3,0,0,0,0.7717,0.0,0.57,0.14,0.14,0.14
673,0,109,743,415,2,0,38,0,4,2,0,0,0,0,0.1531,0.0,0.2,0.2,0.0,0.6
3669,0,2045,893,5384,0,0,23,0,0,0,0,0,0,0,-0.7351,0.0,0.0,0.0,0.67,0.33
7792,0,552,2928,22604,0,0,21,0,3,0,0,0,0,0,-0.5859,0.0,0.4,0.0,0.2,0.4
