,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,description,favorite_count,retweet_count,contains_profanity,word_count,url,mentions,hashtags,mentions_count,hashtags_count,contains_bad_url,contains_good_url,contains_bad_mentions,contains_good_mentions,contains_bad_hashtags,contains_good_hashtags,sentiment_analysis,contains_bad_words,contains_good_words,angry_level,fear_level,happy_level,sad_level,surprise_level
128,0,9938,10067,2434,0,tenor washington approach beijing unlikely change time soon say biden may rely different method china leader might enjoy change,0,1,0,37,www3.nhk.or.jp,[],[],0,0,0,1,0,0,0,0,0.4939,0,1,0.2,0.4,0.2,0.0,0.2
10314,1,2729,656,3484,0,trump fab five president name legal team fight election court rudy giuliani joseph digenova victoria toensing sidney powell jenna elli truly great team add wonderful lawyer representative,1,0,0,41,www.dailymail.co.uk,[],[],0,0,0,0,0,0,0,0,0.9118,0,1,0.0,0.17,0.17,0.33,0.33
4837,0,922,874,47,0,gop trumpwho past boast size penis amp high testosteronecontinues appeal secretly insecure manhood suggest basic precaution wear mask unmanly,0,0,1,42,www.nytimes.com,['GOP'],[],1,0,0,0,0,0,0,0,-0.4215,0,1,0.0,0.5,0.0,0.5,0.0
15500,1,6125,5781,25600,0,honestly like really show work trump reportedly sad depressed rarely show work anymore,29,3,0,28,www.politicalflare.com,[],[],0,0,0,0,0,0,0,0,-0.2263,0,1,0.0,0.33,0.0,0.33,0.33
7353,0,433,1127,325,0,happens neither trump biden concedes read fascinate sensationallytimed nytimes oped camintelligences drdanlarsen uselections2020 trincollcam dept_of_polis camhistory camericanist nytopinion,43,16,0,30,www.nytimes.com,"['NYTimes', 'CamIntelligence', 'DrDanLarsen', 'TrinCollCam', 'Dept_of_POLIS', 'CamHistory', 'Camericanist', 'NYTOpinion']","['Trump', 'Biden', 'USElections2020']",8,3,0,0,0,0,0,0,0.5267,0,1,0.0,0.0,0.0,0.5,0.5
1729,1,404,99,2363,0,break joe biden subject federal criminal investigation role spygate activity ukraine via gatewaypundit,0,0,0,22,www.thegatewaypundit.com,['gatewaypundit'],[],1,0,0,0,1,0,0,0,-0.5267,0,1,0.0,0.0,0.0,0.33,0.67
7342,1,856,349,3099,0,fake as wannabe fan lie philadelphia eagle fan wear different team jacket pennsylvania philadelphia eagle biden trump2020,0,1,0,25,www.dailymail.co.uk,[],"['Pennsylvania', 'Philadelphia', 'Eagles', 'Biden', 'Trump2020']",0,5,0,0,0,0,0,0,0.128,0,1,0.0,0.0,0.0,1.0,0.0
8172,0,143,56,1554,0,president trump wasnt enough evidence present exhibit 2 demonstrate youre white guy absolutely idiotic breathtakingly ignorant moron still succeed country,0,0,1,34,news.google.com,[],['2'],0,1,0,1,0,0,0,0,-0.7397,0,1,0.0,0.67,0.0,0.0,0.33
15231,1,42687,62778,77154,0,stun georgia secretary state hire dominionlinked firm conduct audit dominion voting system via gatewaypundit rudygiuliani realdonaldtrump vp gop garepublicans gagop12 gagop10,4,2,0,30,www.thegatewaypundit.com,"['gatewaypundit', 'RudyGiuliani', 'realDonaldTrump', 'VP', 'GOP', 'GaRepublicans', 'gagop12', 'GaGOP10']",[],8,0,0,0,1,0,0,0,0.0,0,1,0.0,0.5,0.0,0.25,0.25
527,0,285,38,726,0,pittsfansandy1 thehill sandy trump work social security medicare unemployment benefit civil right gay right healthcare right sick people woman right money city stimulus money 600 week debates2020,0,0,0,34,www.sun-sentinel.com,"['pittsfansandy1', 'thehill']",['Debates2020'],2,1,0,0,0,0,0,0,-0.2023,0,1,0.0,0.73,0.09,0.09,0.09
12190,1,1871,702,15409,0,confirm georgia steal tally show massive biden vote dump lose vote trump vote ratio statistically impossible via gatewaypundit,1,1,0,24,www.thegatewaypundit.com,['gatewaypundit'],[],1,0,0,0,1,0,0,0,-0.8176,0,1,0.0,0.25,0.0,0.25,0.5
15441,1,35,51,33,0,report presstv trump speech cant play device hopefully rare honest look trump speech impact u medium call every book actually watch far,4,2,0,53,www.presstv.com,['PressTV'],[],1,0,0,0,0,0,0,0,0.0015,0,1,0.14,0.29,0.0,0.0,0.57
2078,0,269,68,40223,0,crime effect trump lawandorder mantra go miss wake domestic terror plot democratic governor,2,0,0,25,www.cnn.com,[],[],0,0,0,0,0,0,0,0,-0.8176,0,1,0.0,0.2,0.0,0.4,0.4
13210,0,1388,5396,160266,0,accurate headline fir article would felon associate trump evaluate best buy pardon,5,1,0,22,www.nytimes.com,[],[],0,0,0,0,0,0,0,0,0.7579,0,1,0.0,0.25,0.0,0.25,0.5
5729,0,3225,3061,33539,0,ridiculous amp couldnt truth reality ive never face antisemitism member gop headline amp story like really fake news,2,0,0,39,www.timesofisrael.com,['GOP'],[],1,0,0,0,0,0,0,0,-0.6548,0,1,0.0,0.0,0.0,0.5,0.5
11935,0,927,678,5930,0,via nytimes gop scar shtless monster create may bring flame,0,0,1,24,www.nytimes.com,"['nytimes', 'gop']",[],2,0,0,0,0,1,0,0,0.2732,0,1,0.25,0.25,0.0,0.5,0.0
4660,0,977,253,1433,0,pennsylvania disgrace voter suppression real impact much impact moron crow fraud bad thing happen,0,0,1,23,www.inquirer.com,[],[],0,0,0,0,0,0,0,0,-0.9287,0,1,0.33,0.0,0.0,0.5,0.17
6341,0,878,933,119676,0,senategop senthomtillis think american president call kill american governor democracy patriotic wrong country russia thom tillis support trump whitmer attack fit damage pattern,1,1,0,45,www.nytimes.com,"['SenateGOP', 'SenThomTillis']",[],2,0,0,0,0,0,0,0,-0.872,0,1,0.0,0.0,0.25,0.0,0.75
17894,0,510,132,17321,0,jim_jordan santa gop grinches money hand poor work class american crookedgop greedyoldpricks,0,1,0,26,abc7chicago.com,"['Jim_Jordan', 'GOP']","['crookedGOP', 'GreedyOldPricks']",2,2,0,1,0,0,0,0,0.0258,0,1,0.0,0.5,0.0,0.0,0.5
17238,0,199,331,15875,0,spiritof1776 rienzmagi jsolomonreports blind spot trump distort sense reality everything say amp deflection report bounty didnt exist pompeo wouldnt admit amp official warn something fake,0,0,0,47,www.politico.com,"['spiritof1776', 'Rienzmagi', 'jsolomonReports']",[],3,0,0,0,0,0,0,0,-0.8439,0,1,0.0,0.29,0.0,0.43,0.29
7606,0,731,47,0,0,robertjeffress chriskrokshow realdonaldtrump election night hour hour guide bloomberg amp battleground state count time part 2 9 pm 12 cst nov 4 part 1 6 pm 8 pm cst nov 3,0,0,0,48,www.nytimes.com,"['robertjeffress', 'chriskrokshow', 'realDonaldTrump']",[],3,0,0,0,0,0,0,0,-0.4019,0,1,0.0,0.33,0.0,0.33,0.33
1893,0,324,220,12433,0,trump thursday use shock racist sexist mccarthyite smear claim democratic vice presidential nominee kamala harris behave like monster communist debate vice president mike penny,0,0,0,36,www.cnn.com,[],[],0,0,0,0,0,0,0,0,-0.765,0,1,0.0,0.0,0.0,0.0,1.0
12093,0,394,1596,42525,0,cnnbrk twice three time loser trumpmurderer ignores pandemic continue destroy democracy gop help trump campaign request georgia recount thats unlikely change loss state,0,0,0,36,www.cnn.com,"['cnnbrk', 'gop']",['trumpmurderer'],2,1,0,0,0,1,0,0,-0.8225,0,1,0.0,0.33,0.0,0.33,0.33
421,0,6,0,19,0,7 takeaway new york time report president trump tax return via cbsmoneywatch trump bad business tends loose much money pay tax less 9999 american,0,0,0,41,www.cbsnews.com,['cbsmoneywatch'],[],1,0,0,0,0,0,0,0,-0.7351,0,1,0.0,0.25,0.0,0.25,0.5
13796,0,4784,1806,36266,0,hang epa soon joebiden johnkerry charge waterlegacy friendsbwcaw mcea1974 bettymccollum04 deanbphillips epa final deregulatory rush run open staff resistance,3,2,0,31,www.nytimes.com,"['JoeBiden', 'JohnKerry', 'WaterLegacy', 'FriendsBWCAW', 'MCEA1974', 'BettyMcCollum04', 'deanbphillips']",['EPA'],7,1,0,0,0,0,0,0,0.0,0,1,0.0,0.5,0.5,0.0,0.0
1504,0,4112,3522,4206,0,please tell mean theyll mute anyone interrupt go timeelection live update next debate virtual trump biden separate remote location,0,0,0,31,www.washingtonpost.com,[],[],0,0,0,0,0,0,0,0,-0.0258,0,1,0.0,0.0,0.0,0.5,0.5
8402,0,2733,20530,23811,1,mr propaganda twitter confirm trump realdonaldtrump account subject rule user include ban incite violence post false information voting coronavirus pandemic,25,8,0,39,www.theverge.com,['realDonaldTrump'],[],1,0,0,0,0,0,0,0,-0.8658,0,1,0.0,0.5,0.0,0.33,0.17
11033,0,273,68,1438,0,reversal gop official key michigan county certify ballot count strike compromise democrat realestateanqel whitehouse realdonaldtrump gop bad yall sure glad get rudygiuliani case bahahahahahahaha,0,0,0,37,www.washingtonpost.com,"['RealEstateAnqel', 'WhiteHouse', 'realDonaldTrump', 'GOP', 'RudyGiuliani']",[],5,0,0,0,0,0,0,0,0.0772,0,1,0.0,0.33,0.17,0.33,0.17
5544,0,296,734,3062,0,youre nut really crazy time dozen way cope truly fall gale epic proportion turbulent wind uncertainty pummel u high anxiety another,0,0,0,39,www.cnn.com,[],[],0,0,0,0,0,0,0,0,-0.4391,0,1,0.0,0.6,0.0,0.2,0.2
1074,0,4841,3780,104,0,coronavirus relief deal elusive pelosi say democrat await agreement administration stopkillingus gop markmeadows stevenmnuchin1 saveourstates passtheheroesacttoday amp speakerpelosi steadfast senschumer,0,0,0,25,www.washingtonpost.com,"['gop', 'MarkMeadows', 'stevenmnuchin1', 'SpeakerPelosi', 'SenSchumer']","['StopKillingUs', 'SaveOurStates', 'PassTheHeroesActToday', 'Steadfast']",5,4,0,0,0,1,0,0,0.8271,0,1,0.0,0.33,0.0,0.0,0.67
1424,0,1698,957,58323,0,susan page washington bureau chief usa today first print journalist moderate generalelection debate since 1976 prettyyyyyy cool,0,0,0,24,www.nytimes.com,[],[],0,0,0,0,0,0,0,0,0.3182,0,1,0.0,0.0,0.5,0.0,0.5
10759,0,27231,418499,117082,1,trump team effort undo bidens victory gotten ugly georgia corrupt slimy chairman senate judiciary committee lindsey graham right thick leningradlindsey,3948,1372,0,37,nymag.com,[],['LeningradLindsey'],0,1,0,1,0,0,0,0,-0.5106,0,1,0.0,0.4,0.0,0.4,0.2
8412,0,1722,1769,20938,0,adhere church trumpism reject anything might challenge orthodoxy news fake poll fakeit stood reason trump lose defeat would fake well bizarre world view trumpers,1,1,0,47,www.theatlantic.com,[],[],0,0,0,0,0,0,0,0,-0.926,0,1,0.09,0.36,0.0,0.36,0.18
5744,0,73,14,722,0,realdonaldtrump 60minutes translation trump eliminates plan address increase shortage affordable housing american spur homelessness ie housing suburbia allow anyone white woman white picket fence,0,0,0,41,www.politico.com,"['realDonaldTrump', '60Minutes']",[],2,0,0,0,0,0,0,0,0.296,0,1,0.0,0.6,0.0,0.0,0.4
5258,0,1785,817,93966,0,con tell hear georgia profit incarceration probation company disgrace trump racist would black vote racist central park 5 would dead get way,0,0,0,42,www.ajc.com,[],[],0,0,0,0,0,0,0,0,-0.9274,0,1,0.0,0.5,0.0,0.25,0.25
8231,0,4959,1374,11259,0,richlowry go everything say taint 1000 chance halt trumpism metastasize kill gop fail benttheknee amp laid prostrate remember hey rich 75 million rational american,0,0,0,43,www.nationalreview.com,"['RichLowry', 'GOP']",['BentTheKnee'],2,1,0,0,0,0,0,0,-0.5574,0,1,0.0,0.44,0.0,0.22,0.33
2549,0,464,171,41815,0,reminder republican fearful hillary clinton would become president threaten block supreme court nomination gop devolve criminal corrupt organization must dissolve,0,0,0,40,www.politico.com,['GOP'],[],1,0,0,0,0,0,0,0,-0.8176,0,1,0.0,0.71,0.0,0.29,0.0
10871,0,4990,3076,13844,0,new york time realdonaldtrump ask adviser possible strike iranian nuclear site wtf realdonaldtrump cant say 2020 batshit bingo card want start nuclear demented congress use 25th amendment,1,0,0,46,www.cnn.com,"['realDonaldTrump', 'realDonaldTrump']",[],2,0,0,0,0,0,0,0,-0.6124,0,1,0.14,0.14,0.0,0.14,0.57
13807,0,1208,1267,9595,0,trump administration tax reduction end illegal immigration cheap labour incentivizing investment generate job sharply reduce poverty violent crime food stamp use welfare roll,0,0,0,39,nationalpost.com,[],[],0,0,0,1,0,0,0,0,-0.936,0,1,0.17,0.5,0.0,0.17,0.17
200,0,1932,328,17908,0,exmike penny coronavirus staffer slam trump covid19 response crooked donald gop vp realdonaldtrump presssec whitehouse housegop senategop donaldjtrumpjr laraleatrump erictrump kimguilfoyle republicancorruption,0,0,0,25,people.com,"['GOP', 'VP', 'realDonaldTrump', 'PressSec', 'WhiteHouse', 'HouseGOP', 'SenateGOP', 'DonaldJTrumpJr', 'LaraLeaTrump', 'EricTrump', 'kimguilfoyle']",['RepublicanCorruption'],11,1,0,1,0,0,0,0,-0.3818,0,1,0.0,0.0,0.0,0.67,0.33
5728,0,6553,12138,186,0,realdonaldtrump sadistic piece filth entire gop whitehouse donald trump take broken asylum system turn machine unchecked cruelty via motherjones,1,1,0,36,www.motherjones.com,"['realdonaldtrump', 'GOP', 'WhiteHouse', 'MotherJones']",[],4,0,0,0,0,0,0,0,-0.7906,0,1,0.0,0.43,0.0,0.14,0.43
9271,0,1394,648,36786,0,isnt funny dangerous sick direct assault voting democratic republic gop believe american people right decide next president united state america gop trump,0,0,0,47,www.cnn.com,['gop'],"['GOP', 'trump']",1,2,0,0,0,1,0,1,0.2144,0,1,0.0,0.5,0.0,0.25,0.25
7549,0,211,29,11505,0,politico trump hate military realdonaldtrump gopchairwoman gopleader gop teamtrump projectlincoln cnn foxnews foxandfriends kayleighmcenany presssec washingtonpost nypost nytimes usmc usarmy usairforce usnavy usnationalguard,1,0,0,27,www.theatlantic.com,"['politico', 'realDonaldTrump', 'GOPChairwoman', 'GOPLeader', 'GOP', 'TeamTrump', 'ProjectLincoln', 'CNN', 'FoxNews', 'foxandfriends', 'kayleighmcenany', 'PressSec', 'washingtonpost', 'nypost', 'nytimes', 'USMC', 'USArmy', 'usairforce', 'USNavy', 'USNationalGuard']",[],20,0,0,0,0,1,0,0,-0.5719,0,1,0.0,0.0,0.0,0.5,0.5
11526,0,3196,405,8540,0,mr trump outreach republican official michigan represent remarkable intrusion state local politics sit president personally contact official usually play small invisible role routine process via nytimes,0,0,0,38,www.nytimes.com,['nytimes'],[],1,0,0,0,0,1,0,0,0.7964,0,1,0.0,0.4,0.2,0.2,0.2
17856,0,12673,16184,198181,0,senategop donnie take big shit country head town people let happen,28,7,1,22,www.mediaite.com,['SenateGOP'],[],1,0,0,0,0,0,0,0,-0.5574,0,1,0.0,0.25,0.0,0.5,0.25
8893,1,4363,38893,169226,1,dominion voting machine center material data manipulation concern 2020 election here reason via gatewaypundit,16,7,0,24,www.thegatewaypundit.com,['gatewaypundit'],[],1,0,0,0,1,0,0,0,-0.296,0,1,0.0,0.33,0.0,0.67,0.0
12241,0,3135,8254,6472,0,judge write trump attorney haphazardly stitch allegation together like frankenstein monster attempt avoid unfavorable legal precedent rt,1,0,0,27,www.washingtonpost.com,[],[],0,0,0,0,0,0,0,0,0.2023,0,1,0.0,0.0,0.0,0.0,1.0
15732,0,15281,15665,36923,0,get great trump attorney rudy giuliani hospitalize test positive covid19 via usatoday realdonaldtrump vp flotus potus gop fightback,6,3,0,23,www.usatoday.com,"['usatoday', 'realDonaldTrump', 'VP', 'FLOTUS', 'POTUS', 'GOP']",['FightBack'],6,1,0,0,0,0,0,0,0.8271,0,1,0.0,0.0,0.5,0.0,0.5
