,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,favorite_count,retweet_count,contains_profanity,word_count,mentions_count,hashtags_count,contains_bad_url,contains_good_url,contains_bad_mentions,contains_good_mentions,contains_bad_hashtags,contains_good_hashtags,sentiment_analysis
128,0,9938,10067,2434,0,0,1,0,37,0,0,0,1,0,0,0,0,0.4939
10314,1,2729,656,3484,0,1,0,0,41,0,0,0,0,0,0,0,0,0.9118
4837,0,922,874,47,0,0,0,1,42,1,0,0,0,0,0,0,0,-0.4215
15500,1,6125,5781,25600,0,29,3,0,28,0,0,0,0,0,0,0,0,-0.2263
7353,0,433,1127,325,0,43,16,0,30,8,3,0,0,0,0,0,0,0.5267
1729,1,404,99,2363,0,0,0,0,22,1,0,0,0,1,0,0,0,-0.5267
7342,1,856,349,3099,0,0,1,0,25,0,5,0,0,0,0,0,0,0.128
8172,0,143,56,1554,0,0,0,1,34,0,1,0,1,0,0,0,0,-0.7397
15231,1,42687,62778,77154,0,4,2,0,30,8,0,0,0,1,0,0,0,0.0
527,0,285,38,726,0,0,0,0,34,2,1,0,0,0,0,0,0,-0.2023
12190,1,1871,702,15409,0,1,1,0,24,1,0,0,0,1,0,0,0,-0.8176
15441,1,35,51,33,0,4,2,0,53,1,0,0,0,0,0,0,0,0.0015
2078,0,269,68,40223,0,2,0,0,25,0,0,0,0,0,0,0,0,-0.8176
13210,0,1388,5396,160266,0,5,1,0,22,0,0,0,0,0,0,0,0,0.7579
5729,0,3225,3061,33539,0,2,0,0,39,1,0,0,0,0,0,0,0,-0.6548
11935,0,927,678,5930,0,0,0,1,24,2,0,0,0,0,1,0,0,0.2732
4660,0,977,253,1433,0,0,0,1,23,0,0,0,0,0,0,0,0,-0.9287
6341,0,878,933,119676,0,1,1,0,45,2,0,0,0,0,0,0,0,-0.872
17894,0,510,132,17321,0,0,1,0,26,2,2,0,1,0,0,0,0,0.0258
17238,0,199,331,15875,0,0,0,0,47,3,0,0,0,0,0,0,0,-0.8439
7606,0,731,47,0,0,0,0,0,48,3,0,0,0,0,0,0,0,-0.4019
1893,0,324,220,12433,0,0,0,0,36,0,0,0,0,0,0,0,0,-0.765
12093,0,394,1596,42525,0,0,0,0,36,2,1,0,0,0,1,0,0,-0.8225
421,0,6,0,19,0,0,0,0,41,1,0,0,0,0,0,0,0,-0.7351
13796,0,4784,1806,36266,0,3,2,0,31,7,1,0,0,0,0,0,0,0.0
1504,0,4112,3522,4206,0,0,0,0,31,0,0,0,0,0,0,0,0,-0.0258
8402,0,2733,20530,23811,1,25,8,0,39,1,0,0,0,0,0,0,0,-0.8658
11033,0,273,68,1438,0,0,0,0,37,5,0,0,0,0,0,0,0,0.0772
5544,0,296,734,3062,0,0,0,0,39,0,0,0,0,0,0,0,0,-0.4391
1074,0,4841,3780,104,0,0,0,0,25,5,4,0,0,0,1,0,0,0.8271
1424,0,1698,957,58323,0,0,0,0,24,0,0,0,0,0,0,0,0,0.3182
10759,0,27231,418499,117082,1,3948,1372,0,37,0,1,0,1,0,0,0,0,-0.5106
8412,0,1722,1769,20938,0,1,1,0,47,0,0,0,0,0,0,0,0,-0.926
5744,0,73,14,722,0,0,0,0,41,2,0,0,0,0,0,0,0,0.296
5258,0,1785,817,93966,0,0,0,0,42,0,0,0,0,0,0,0,0,-0.9274
8231,0,4959,1374,11259,0,0,0,0,43,2,1,0,0,0,0,0,0,-0.5574
2549,0,464,171,41815,0,0,0,0,40,1,0,0,0,0,0,0,0,-0.8176
10871,0,4990,3076,13844,0,1,0,0,46,2,0,0,0,0,0,0,0,-0.6124
13807,0,1208,1267,9595,0,0,0,0,39,0,0,0,1,0,0,0,0,-0.936
200,0,1932,328,17908,0,0,0,0,25,11,1,0,1,0,0,0,0,-0.3818
5728,0,6553,12138,186,0,1,1,0,36,4,0,0,0,0,0,0,0,-0.7906
9271,0,1394,648,36786,0,0,0,0,47,1,2,0,0,0,1,0,1,0.2144
7549,0,211,29,11505,0,1,0,0,27,20,0,0,0,0,1,0,0,-0.5719
11526,0,3196,405,8540,0,0,0,0,38,1,0,0,0,0,1,0,0,0.7964
17856,0,12673,16184,198181,0,28,7,1,22,1,0,0,0,0,0,0,0,-0.5574
8893,1,4363,38893,169226,1,16,7,0,24,1,0,0,0,1,0,0,0,-0.296
12241,0,3135,8254,6472,0,1,0,0,27,0,0,0,0,0,0,0,0,0.2023
15732,0,15281,15665,36923,0,6,3,0,23,6,1,0,0,0,0,0,0,0.8271
15038,0,730,239,14402,0,0,0,0,44,5,0,0,0,0,0,0,0,-0.7351
10480,1,10638,9668,22,0,0,0,0,20,0,0,0,0,0,0,0,0,-0.25
17099,1,257,536,1367,0,0,0,0,39,0,0,0,0,0,0,0,0,-0.6709
11776,0,925,382,147279,0,0,0,0,24,0,0,0,1,0,0,0,0,-0.4939
11688,0,3781,3923,146,0,1,3,0,36,7,2,0,1,0,0,0,0,-0.25
7105,0,991,146600,22033,1,47,10,0,28,0,0,0,0,0,0,0,0,0.0
15593,0,837,415,6397,0,1,0,0,26,1,0,0,0,0,0,0,0,0.0
8291,0,266,67,909,0,1,1,0,27,2,0,0,0,0,1,0,0,0.872
9937,1,742,673,72519,0,0,0,0,21,1,0,0,0,1,0,0,0,-0.6486
3832,0,1960,510,1704,0,0,0,0,41,0,0,0,0,0,0,0,0,0.5859
1256,0,147,228,1358,0,0,1,0,35,0,5,0,0,0,0,0,0,0.6486
16800,0,509,254,872,0,44,1,0,20,1,0,0,1,0,0,0,0,0.0
13096,0,4426,4658,350967,0,0,0,0,36,2,0,0,0,0,0,0,0,-0.8176
6038,0,2119,634,2206,0,0,0,0,37,3,0,0,0,0,0,0,0,0.0046
4386,0,180,8,17778,0,0,0,0,32,12,1,0,0,0,0,0,0,0.8481
15388,0,824,170,5725,0,0,0,0,48,0,3,0,0,0,0,0,0,-0.7951
12542,1,1954,4199,2732,1,1,0,0,45,0,0,0,0,0,0,0,0,-0.8074
12222,0,2186,1988,94,0,0,0,0,40,0,0,0,0,0,0,0,0,-0.5859
13072,0,6984,3754871,2781,1,14,2,0,40,0,0,0,0,0,0,0,0,0.9169
13176,1,65,78,16,0,1,1,0,24,1,0,0,0,1,0,0,0,-0.7184
11855,1,2065,2687,2136,0,8,3,0,21,1,0,1,0,0,0,0,0,-0.34
256,0,2,11,29,0,0,0,0,38,2,1,0,1,0,0,0,0,-0.8074
8426,0,787,893,13462,0,11,1,0,41,1,0,0,0,0,0,0,0,-0.2607
16790,0,32428,31214,2643,0,1,0,0,34,0,0,0,0,0,0,0,0,0.0
6066,0,56,5,1537,0,0,0,0,22,5,0,0,0,0,0,0,0,0.8807
11553,0,1089,161,8814,0,0,0,0,32,0,0,0,0,0,0,0,0,0.1531
12472,0,40,3,130,0,0,0,0,27,0,0,0,0,0,0,0,0,0.8934
6138,0,4863,30638,121442,0,21,11,0,23,7,2,0,0,0,0,0,0,-0.128
1786,0,4594,9526,112270,0,7,3,0,40,0,0,0,0,0,0,0,0,-0.6486
15594,0,799,3131,49331,0,1,0,0,37,0,0,0,0,0,0,0,0,-0.4215
