,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,description,favorite_count,retweet_count,contains_profanity,HQ,HNQ,MQ,MNQ,text_size,word_count,url,sentiment_analysis
0,0,3822,1084,49451,0,glad hear senatedems housedemocrats senschumer amp speakerpelosi everything prevent supreme court confirmation fight fight health life democracy depend upon,0,0,0,0,0,0,1,255,36,https://t.co/qlDYt16FvC,0.3612
1,1,4378,30443,113064,0,people swim current freedom liberty would realize found nation god make country truly great debates2020,56,26,0,0,1,0,0,220,37,https://t.co/8Ia8YtRYvH,0.9493
2,0,29,43,0,0,nytimes chaos violence break trump call action racist hate group trumpkin cultmember poll watcher immediately learn law amp order mean arrest incite antiamerican activity,0,0,0,0,0,0,1,278,47,https://t.co/5FFoZ2GZFx,-0.9578
3,0,400,4857,1942,0,yemyat91 int_idea least two rohingya candidate label bengali didnt choose identity app help spread institutionalise racism thats pervasive burma period,2,0,0,0,0,0,0,216,33,https://t.co/8Z0zeLrOW6,-0.34
4,0,98,825,2848,0,secret history kimberly guilfoyles departure fox best yet kimguilfoyle donaldjtrumpjr foxtv nytimes,0,0,0,0,0,0,1,166,23,https://t.co/zh2BdU4oaj,0.6369
5,0,400,445,987,0,jonathan_witt right cue new york time super scary sound headline cant resist trump reference either stopthefear,0,0,0,0,0,0,0,188,30,https://t.co/ksDezQEVnl,0.1779
6,0,1003,372,6487,0,new york time reporter infect covid19 say white house contact trace cnn something wrong trump team vote dangerous reckless vote joebiden,0,0,0,0,0,0,1,265,45,https://t.co/1tuC8YashQ,-0.836
7,0,857,5164,1562,0,watch watch key question head tonight vice presidential debate vice president mike penny kamala harris,0,0,0,0,0,0,0,180,29,https://t.co/I3iHpd3pVC,0.0
8,0,411,70,119,0,prez cruel separation migrant child parent sometimes month heart trump administration assault immigration new york time,0,0,0,0,0,0,0,235,39,https://t.co/mQBoXw6Sr0,-0.8225
9,0,65,2,13,0,maybe bad sign youre lose election mike whats buzz debate fly pences head,0,0,0,0,0,0,0,153,29,https://t.co/eKl3fDCr9J,-0.7351
10,0,650,2322,23856,0,yalla7bibi zaidjilani good postmortem badly mismanage campaign unclear chain command basically behindthescenes lobbying vp much successful party insider,1,0,0,0,0,0,0,275,46,https://t.co/WsBMvgJI4O,0.6124
11,0,192,44,598,0,devastate article new england journal medicine regard fail response covid19 crisis federal government read vote trump,0,0,0,0,0,0,0,196,33,https://t.co/hdvTq37QZD,-0.9136
12,1,1831,2074,51216,0,go home joe trump supporter tell biden really feel trip vega motorcade drive video via gatewaypundit,0,0,0,0,0,1,0,171,29,https://t.co/HFIUXWQ0yT,0.2732
13,0,338,12,2940,0,longtime republican strategist behind lincoln project mount rogue offensive donald trump 60 minute cbs news,0,0,0,0,0,0,0,152,20,https://t.co/Bdo4ibcpSN,-0.4588
14,0,2102,804,2790,0,longtime republican strategist behind lincoln project mount rogue offensive donald trump 60 minute cbs news,0,0,0,0,0,0,0,152,20,https://t.co/4k0Km7Jeie,-0.4588
15,0,198,118,5627,0,must biden answer gop court pack thats happen last 5 year hewitt idiot,0,0,1,0,0,0,1,138,25,https://t.co/P9BDMeioGG,-0.5106
16,0,2884,2590,12337,0,republican gop election2020 cheater watch talk dems fakedropboxes california california gop instal unofficial ballot dropoff box state official say theyre illegal,0,0,0,0,1,0,1,274,42,https://t.co/puyEE7wps8,-0.7964
17,0,2846,3216,137300,0,fake black twitter account spread 100 thousand fake vote trump message identify amp remove yet investigate votebluedownballot bidentownhall,0,0,0,0,1,0,0,220,30,https://t.co/VGRYieWwEp,-0.7351
18,0,905,368,46422,0,gop racist root go deeper realdonaldtrump ugly reflection gop lee atwater dark dirty side gop politics,0,0,0,0,0,0,1,196,35,https://t.co/nVouNnumRM,-0.8807
19,0,1215,1010,16024,0,chief economist say mitch mcconnell expect trump lose election break mean stimulus money february,1,0,0,0,0,0,0,178,29,https://t.co/nc0UwnOdAB,-0.4019
20,0,713,156,328,0,whats use congress try stop vote resolution get vetoed president isnt happen entire legislation base enable worldwide criminality usaggressioncrimesonyemen,0,0,0,0,0,0,0,267,44,https://t.co/MnVt4351pa,-0.296
21,0,2302,9835,105240,0,opinion donald trump bad president modern history new york time read article back definitively even without covid overwhelmingly true,9,1,0,0,0,0,0,207,31,https://t.co/C26VwRGrKP,-0.6664
22,0,75,551,2982,0,use money flood fox news anti trump money well spent democrat stun fundraise,0,0,0,0,0,0,0,140,24,https://t.co/mgylRbFfDh,-0.0516
23,1,3329,2422,14806,0,senator johnson rwisc answer fbi agency silence bidenlaptop bombshell hallelujah suspect wray,1,3,0,0,0,0,0,180,27,https://t.co/ct8fs4KlSN,0.4215
24,0,2450,995,28970,0,realdonaldtrump foxandfriends united state handle pandemic badly editor note although crisis enormous advantage current political leader demonstrate dangerously incompetent,0,0,0,0,0,0,1,282,40,https://t.co/WcDP3qXvA6,-0.8591
25,0,2131,32,505,0,gop gopchairwoman need know hunter laptop steve bannon rudy giuliani andrii derkach along conveniently timely smoking laptop bannon wall along mexican border hed like sell hell throw brooklyn bridge free,0,0,0,0,0,0,1,293,50,https://t.co/q8eU1XSdfX,0.0516
26,1,50,5,158,0,weve get full blown bipolar patient nation president donald trump abruptly storm interview slam 60 minute lesley stahl wear mask interview trump desperate need interdiction,0,0,0,0,0,0,0,273,47,https://t.co/ugNJIawhO8,-0.5994
27,1,2665,2566,3633,0,redalert break giuliani give hunter bidens hard drive delaware state police photo underage girl inappropriate text,1,2,0,0,0,0,0,160,24,https://t.co/452Aipvuw6,-0.1027
28,0,965,65,1920,0,opinion case trump 600 allcaps word 35 exclamation point praise good friend xi jinping handle coronavirus transparency vote excerpt voteblue,0,0,0,0,0,0,0,220,32,https://t.co/erW70Rj3uy,0.8658
29,1,385,825,16462,0,biden sinking crooked democrat nominee lead plunge 63 point week presidential race statistical dead heat,0,0,0,0,0,0,0,151,25,https://t.co/egjrlGQTdn,-0.6486
30,0,34212,31970,102212,0,gop trump lawyerag barr work trump america statedept senatorrisch senkevincramer stevedaines johnthune senatorrounds senatorfischer sendansullivan lisamurkowski senmcsallyaz senpatroberts jerrymoran johnboozman senatorwicker,0,0,0,0,0,0,1,278,28,https://t.co/snPIaUsqZl,0.0
31,0,191,107,3136,0,trump tax show president awful lot chinalinked financial interest realdonaldtrump itch mcconnell amp wife china corruption scandal dems follow money hit bull eye corruption,2,1,0,0,0,0,1,259,42,https://t.co/NGS3ZQBwEJ,-0.4404
32,0,3876,1537,74699,0,joebiden wish hero help ultra happy day excite love boy ultra love joe happy,0,0,0,0,0,0,0,181,35,https://t.co/hr2SCZGezx,0.9816
33,0,111,11,2077,0,tonight sleepy corrupt joe biden go get confront laptop hell brought john paul mac isaac donald trump,0,0,0,0,0,0,0,170,30,https://t.co/jIU5VW9vdJ,-0.743
34,1,10140,11029,282800,0,joebiden nowhere run guilty hell prison senkamalaharris help cover president prison else help cover speakerpelosi,0,0,1,0,0,0,1,254,44,https://t.co/ghk03eFtnQ,0.5853
35,0,37,17,1115,0,russian hacker steal data incompetent republican congressman dangerously incompetent fbi director knew russia attack amp trump let happen voteeveryrepublicanout ap msnbc cnn foxnews abc gop dnc wsj,1,0,0,0,0,0,1,278,39,https://t.co/5Beqznt5Ht,-0.9382
36,1,12374,11401,14966,0,uh would joe biden shock liberal moderator say shut oil industry video via gatewaypundit,0,0,0,0,0,1,0,153,25,https://t.co/LbxrnYGEsQ,-0.3818
37,0,33,96,52,0,164000 covid19 senior death shot foot senior repel trump pandemic response elderly eldercare caregiver caregiver family healthcare retire,0,0,0,0,1,0,0,214,28,https://t.co/OOqaZ0IOgK,-0.5994
38,0,5001,3214,34699,0,mcconnell say concern despite visible bandage bruise cnn via googlenews didnt realize could get bruise excessive trump brownnosing,0,0,0,0,0,0,0,187,29,https://t.co/ynexCK9Vsc,0.0
39,0,7886,8492,16756,0,minnesota ag investigates company accuse recruiting arm guard election day search tie batshit angry divisive quietly eliminate,0,0,0,0,0,0,0,204,31,https://t.co/QTJaD6sv3a,-0.6249
40,0,10550,10385,9376,0,covid relief packagethe gop busy buying judge 80 million quid pro quo ruling 80 million federalist paid ruling set americawomen back 200 year speakerpelosi isnt illegal,0,2,0,0,0,0,1,298,53,https://t.co/csJjjTmNUL,0.7205
41,0,4,62,44,0,proof biden blame russia laptop email yet washingtonpost others provide cover neither ask question press biden campaign answer run clock skate seat power unbelievable,0,0,0,0,0,0,0,274,46,https://t.co/LCeuYBjwbc,-0.1531
42,1,2198,557,6176,0,jasonjhyatt nigel_farage say uk kamala ohio luckily shes bad candidate probably turn voter,0,0,0,0,0,0,1,164,28,https://t.co/HS36c8G67o,-0.0516
43,1,4982,3764,31756,0,video leftist thug hurl egg rock jew trump caravan idiot film egg car via gatewaypundit,0,0,1,0,0,1,0,152,24,https://t.co/7rzwa5Da6B,-0.5106
44,1,1041,275,214,0,joe bidens vow phase oil industry bring green new deal would decimate economy ohio texas pennsylvania oklahoma,0,1,0,0,0,0,0,171,29,https://t.co/aleL2zN9Y7,0.0
45,0,5154,260924,2386,1,president trump maintains narrow lead texas accord new york timessiena college poll monday texas nytimes nate_cohn,23,5,0,0,0,0,1,177,27,https://t.co/XaKSggWMXo,0.0
46,0,300,123,477,0,break news wash post run wrong story cover resignation dude mad trump exec order instead cover exec order,0,0,0,0,0,0,0,150,25,https://t.co/XG2nTVec2o,-0.8176
47,0,55,53,560,0,thejusticedept fbi teamtrump gop justice havent heard cant resuscitate dead horse blowing smoke jean carroll lawsuit judge reject doj effort suit cnnpolitics,0,0,1,0,0,0,1,243,39,https://t.co/Cu4VpFaqqq,0.501
48,1,7040,7030,1881,0,break president donald trump lead joe biden rasmussen daily white house watch 4 point swing week via gatewaypundit,0,0,0,0,0,1,0,169,26,https://t.co/hcSdeecOcE,0.0
49,0,1218,4560,33,0,intl crisis group red flag election violence polarise electorate high stake hate speech misinformation claim fraud arm militia contest outcome cover unconventionalthreat via crisisgroup,1,0,0,0,0,0,0,280,38,https://t.co/aZowNYtx1l.,-0.9584
50,0,644,188,11807,0,realdonaldtrump entire country follow city approach wachter say would 50000 dead pandemic instead 220000 yea people need info pertain literal survival sorry cant move,0,0,0,0,0,0,1,296,52,https://t.co/M5neQ3dH6X,-0.6808
51,0,3163,1191,348052,0,rvat2020 murphymike appreciate brendas willingness speak american sick amp tire benghazi failure obama admin housegop cut funding embassy accountability,0,0,0,0,0,0,1,265,42,https://t.co/li7EHpnodv,-0.5994
52,0,24,1032,3272,0,cant make stuff spending 3 year bashing science trump base safety covid test give false negative least third time fails social distance could worn mask 015737,0,0,0,0,0,0,0,267,51,https://t.co/5e5sKAVGFS,-0.7096
53,0,1252,133,16795,0,expels migrant child country mexico another disgust act terror realdonaldtrump amp band thug vote stop reign corruption terror abuse authoritarianism vote,0,0,0,0,0,0,1,238,37,https://t.co/o5OPX4B1x6,-0.9623
54,0,4018,2995,100244,0,essay shultz single former ambassador ukraine marie yovanovitch epitome successful diplomat extol integrity courage patriotism ability build trust relationship,1,1,0,0,0,0,0,249,38,https://t.co/ltgwT65gBC,0.9349
55,0,4208,4494,13266,0,trump record 4 year pretty impressive look fact realdonaldtrump decision2020 uspoli uspresidentialelections2020 opinion trump best conservative president modern history turn sound,12,1,0,0,1,0,1,274,40,https://t.co/HAO2h25NSY,0.8934
56,0,28,18,1444,0,trump cast doubt peaceful transfer power preparation well underway cowers people fallowing bad person country bad country create chaos racism,0,0,0,0,0,0,0,258,46,https://t.co/I48FgvZzRr,-0.8979
57,0,135,41,509,0,govmikehuckabee foxandfriends foxnews kilmeade stevedoocy ainsleyearhardt fact amazonnra paid 0000 tax thanks republican catering big bussinessbig money pay tax leadership america deserves well,0,0,0,0,0,1,1,305,43,https://t.co/BhWVScXBc8,0.5574
58,0,1472,250,5453,0,realdonaldtrump dont forget fascist main weapon make scar paralyze fear inject hate venom nazisoramerica,0,0,0,0,0,0,1,186,30,https://t.co/lT4ezgaVun,-0.6715
59,0,818,521051,47990,1,biden go way gracious sander include policy discussion well solicit advice warren put forth build back well agenda include many item progressive wish list,328,45,0,0,0,0,0,254,46,https://t.co/dVVfj270IA,0.8591
60,0,211,29,11505,0,whitehouse realdonaldtrump trump hate military realdonaldtrump gopchairwoman gopleader gop teamtrump projectlincoln cnn foxnews foxandfriends kayleighmcenany presssec washingtonpost nypost nytimes usmc usarmy usairforce usnavy usnationalguard,0,0,0,0,0,0,1,296,29,https://t.co/OR6CZbOsrh,-0.5719
